movie_title,release_year,run_time_minute,kill_count,male_death,female_death,other_death
Mandy,2018,121,13,9,4,0
Scary Stories to Tell in the Dark,2019,108,4,4,0,0
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,11,9,2,0
The Cabin in the Woods,2011,95,6870000000,3440000000,3430000000,0
Better Watch Out,2016,89,3,3,0,0
It: Chapter Two,2019,169,8,6,1,1
Ready or Not,2019,96,15,8,7,0
Brightburn,2019,90,274,3,3,268
Child's Play Remake,2019,90,7,6,1,0
The Banana Splits Movie,2019,89,27,8,1,18
Hell Fest,2018,90,6,3,3,0
The Witch,2015,92,4,3,1,0
The Descent Part 2,2009,94,17,3,3,11
The Descent ,2005,99,15,1,5,9
Final Destination 5,2011,92,94,6,2,86
The Final Destination,2009,82,61,6,4,51
Final Destination 3,2006,93,29,15,14,0
Hush,2016,87,3,2,1,0
The Babysitter,2017,85,8,6,2,0
It Follows,2014,100,2,1,1,0
Us,2019,121,66,14,14,38
Terrifier,2016,85,10,6,4,0
Return to Sleepaway Camp,2008,86,9,7,2,0
Happy Death Day 2U,2019,100,20,7,12,1
Leatherface,2017,90,21,15,6,0
Texas Chainsaw 3D,2013,92,18,14,4,0
The Texas Chainsaw Massacre: The Beginning,2006,91,11,7,4,0
Alien: Covenant,2017,122,60,8,5,47
Leprechaun Returns,2018,93,6,4,2,0
Prometheus,2012,124,15,13,2,0
The First Purge,2018,98,133,60,12,61
A Quiet Place,2018,90,4,3,1,0
My Bloody Valentine 3D,2009,101,30,18,10,2
Alien vs. Predator: Requiem,2007,102,78,23,8,47
Halloween,2018,106,18,14,4,0
Bird Box,2018,124,27,18,7,2
Santa's Slay,2005,78,41,26,15,0
Silent Night,2012,94,17,11,6,0
The Strangers: Prey at Night,2018,85,8,4,4,0
Unfriended: Dark Web,2018,92,10,6,3,1
Evil Dead Remake,2013,90,9,3,5,1
Halloween Remake,2007,121,22,15,7,0
Halloween II,2009,105,19,12,7,0
Unfriended,2014,83,6,3,3,0
The Purge: Election Year,2016,109,116,82,8,26
The Purge: Anarchy,2014,103,65,54,6,5
The Purge,2013,85,47,11,3,33
Jigsaw,2017,92,16,10,4,2
Saw 3D,2010,90,26,19,7,0
Saw VI,2009,90,13,9,4,0
Saw V,2008,98,6,3,3,0
Saw IV,2007,103,10,8,2,0
Saw III,2006,108,9,5,4,0
Happy Death Day,2017,96,19,6,13,0
Saw II,2005,95,9,7,2,0
Leprechaun: Origins,2014,90,8,5,2,1
The Belko Experiment,2016,89,84,49,35,0
A Nightmare on Elm Street Remake,2010,95,5,3,2,0
The Strangers,2008,91,2,2,0,0
President's Day,2010,80,20,10,10,0
It,2017,135,3,3,0,0
The Thing Prequel,2011,103,13,12,1,0
Krampus,2015,98,12,4,8,0
Black Christmas Remake,2006,84,18,7,11,0
ThanksKilling,2007,70,10,7,3,0
Trick 'r Treat,2007,82,27,16,4,7
The Mist,2007,126,34,21,9,4
You're Next,2011,95,15,10,5,0
Get Out,2017,104,7,4,3,0
Scream 4,2011,111,15,5,10,0
